"","pathogens","Quant","Sample","type"
"7395","C hominis",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7396","Cryptosporidium spp.",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7397","C parvum",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7398","Stongyloides stercoralis",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7399","E. histolytica",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7400","ETEC-ST",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7401","Adenovirus 40/41",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7402","Giardia duodenalis",296.741900154827,"HHSOIL_SN_049_R1","HHSOIL"
"7403","E. coli/ Shigella",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7404","Ascaris",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7405","ETEC-LT",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7406","Necator americanus",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7407","Norovirus GI",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7408","Norovirus GII",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7409","Rotavirus A",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7410","Shigella flexneri 6",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7411","EHEC 0157H7",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7412","STEC",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7413","Salmonella typhi",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7414","Clostridium difficile",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7415","Vibrio cholerae",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7416","Trichuris",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7417","Salmonella enterica",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7418","Total E. coli",3261.45219583495,"HHSOIL_SN_049_R1","HHSOIL"
"7419","Helicobacter pylori",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7420","EIEC",NA,"HHSOIL_SN_049_R1","HHSOIL"
"7421","Enterovirus",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7422","EAEC",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7423","Ancyclostoma duodenale",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7424","Aeromonas",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7425","EPEC",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7426","Bacteroides fragilis",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7427","Campylobacter coli/jejuni",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7428","Astrovirus",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7429","Cyclospora cayetanesis",86.5229901469722,"HHSOIL_SN_043_R2","HHSOIL"
"7430","C hominis",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7431","Cryptosporidium spp.",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7432","C parvum",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7433","Stongyloides stercoralis",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7434","E. histolytica",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7435","ETEC-ST",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7436","Adenovirus 40/41",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7437","Giardia duodenalis",3018.5313699272,"HHSOIL_SN_043_R2","HHSOIL"
"7438","E. coli/ Shigella",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7439","Ascaris",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7440","ETEC-LT",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7441","Necator americanus",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7442","Norovirus GI",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7443","Norovirus GII",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7444","Rotavirus A",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7445","Shigella flexneri 6",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7446","EHEC 0157H7",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7447","STEC",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7448","Salmonella typhi",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7449","Clostridium difficile",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7450","Vibrio cholerae",170.045837501331,"HHSOIL_SN_043_R2","HHSOIL"
"7451","Trichuris",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7452","Salmonella enterica",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7453","Total E. coli",352.593937285613,"HHSOIL_SN_043_R2","HHSOIL"
"7454","Helicobacter pylori",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7455","EIEC",NA,"HHSOIL_SN_043_R2","HHSOIL"
"7456","Enterovirus",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7457","EAEC",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7458","Ancyclostoma duodenale",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7459","Aeromonas",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7460","EPEC",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7461","Bacteroides fragilis",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7462","Campylobacter coli/jejuni",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7463","Astrovirus",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7464","Cyclospora cayetanesis",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7465","C hominis",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7466","Cryptosporidium spp.",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7467","C parvum",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7468","Stongyloides stercoralis",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7469","E. histolytica",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7470","ETEC-ST",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7471","Adenovirus 40/41",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7472","Giardia duodenalis",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7473","E. coli/ Shigella",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7474","Ascaris",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7475","ETEC-LT",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7476","Necator americanus",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7477","Norovirus GI",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7478","Norovirus GII",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7479","Rotavirus A",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7480","Shigella flexneri 6",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7481","EHEC 0157H7",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7482","STEC",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7483","Salmonella typhi",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7484","Clostridium difficile",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7485","Vibrio cholerae",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7486","Trichuris",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7487","Salmonella enterica",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7488","Total E. coli",353.012650542315,"HHSOIL_SN_048_R3","HHSOIL"
"7489","Helicobacter pylori",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7490","EIEC",NA,"HHSOIL_SN_048_R3","HHSOIL"
"7491","Enterovirus",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7492","EAEC",21.5367016870898,"HHSOIL_SN_008_RE","HHSOIL"
"7493","Ancyclostoma duodenale",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7494","Aeromonas",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7495","EPEC",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7496","Bacteroides fragilis",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7497","Campylobacter coli/jejuni",99.8898815132309,"HHSOIL_SN_008_RE","HHSOIL"
"7498","Astrovirus",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7499","Cyclospora cayetanesis",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7500","C hominis",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7501","Cryptosporidium spp.",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7502","C parvum",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7503","Stongyloides stercoralis",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7504","E. histolytica",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7505","ETEC-ST",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7506","Adenovirus 40/41",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7507","Giardia duodenalis",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7508","E. coli/ Shigella",21.5367016870898,"HHSOIL_SN_008_RE","HHSOIL"
"7509","Ascaris",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7510","ETEC-LT",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7511","Necator americanus",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7512","Norovirus GI",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7513","Norovirus GII",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7514","Rotavirus A",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7515","Shigella flexneri 6",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7516","EHEC 0157H7",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7517","STEC",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7518","Salmonella typhi",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7519","Clostridium difficile",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7520","Vibrio cholerae",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7521","Trichuris",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7522","Salmonella enterica",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7523","Total E. coli",3687.80075117568,"HHSOIL_SN_008_RE","HHSOIL"
"7524","Helicobacter pylori",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7525","EIEC",NA,"HHSOIL_SN_008_RE","HHSOIL"
"7526","Enterovirus",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7527","EAEC",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7528","Ancyclostoma duodenale",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7529","Aeromonas",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7530","EPEC",9.99894873880581,"HHSOIL_SN_050_R4","HHSOIL"
"7531","Bacteroides fragilis",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7532","Campylobacter coli/jejuni",34.0373708271989,"HHSOIL_SN_050_R4","HHSOIL"
"7533","Astrovirus",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7534","Cyclospora cayetanesis",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7535","C hominis",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7536","Cryptosporidium spp.",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7537","C parvum",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7538","Stongyloides stercoralis",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7539","E. histolytica",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7540","ETEC-ST",5.57863377897929,"HHSOIL_SN_050_R4","HHSOIL"
"7541","Adenovirus 40/41",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7542","Giardia duodenalis",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7543","E. coli/ Shigella",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7544","Ascaris",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7545","ETEC-LT",341.721290598406,"HHSOIL_SN_050_R4","HHSOIL"
"7546","Necator americanus",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7547","Norovirus GI",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7548","Norovirus GII",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7549","Rotavirus A",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7550","Shigella flexneri 6",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7551","EHEC 0157H7",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7552","STEC",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7553","Salmonella typhi",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7554","Clostridium difficile",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7555","Vibrio cholerae",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7556","Trichuris",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7557","Salmonella enterica",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7558","Total E. coli",518.541502641917,"HHSOIL_SN_050_R4","HHSOIL"
"7559","Helicobacter pylori",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7560","EIEC",NA,"HHSOIL_SN_050_R4","HHSOIL"
"7561","Enterovirus",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7562","EAEC",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7563","Ancyclostoma duodenale",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7564","Aeromonas",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7565","EPEC",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7566","Bacteroides fragilis",199.595478524843,"HHSOIL_SN_055_R4","HHSOIL"
"7567","Campylobacter coli/jejuni",199.595478524843,"HHSOIL_SN_055_R4","HHSOIL"
"7568","Astrovirus",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7569","Cyclospora cayetanesis",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7570","C hominis",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7571","Cryptosporidium spp.",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7572","C parvum",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7573","Stongyloides stercoralis",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7574","E. histolytica",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7575","ETEC-ST",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7576","Adenovirus 40/41",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7577","Giardia duodenalis",278.555487427419,"HHSOIL_SN_055_R4","HHSOIL"
"7578","E. coli/ Shigella",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7579","Ascaris",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7580","ETEC-LT",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7581","Necator americanus",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7582","Norovirus GI",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7583","Norovirus GII",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7584","Rotavirus A",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7585","Shigella flexneri 6",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7586","EHEC 0157H7",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7587","STEC",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7588","Salmonella typhi",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7589","Clostridium difficile",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7590","Vibrio cholerae",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7591","Trichuris",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7592","Salmonella enterica",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7593","Total E. coli",1140.5606014101,"HHSOIL_SN_055_R4","HHSOIL"
"7594","Helicobacter pylori",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7595","EIEC",NA,"HHSOIL_SN_055_R4","HHSOIL"
"7596","Enterovirus",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7597","EAEC",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7598","Ancyclostoma duodenale",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7599","Aeromonas",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7600","EPEC",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7601","Bacteroides fragilis",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7602","Campylobacter coli/jejuni",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7603","Astrovirus",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7604","Cyclospora cayetanesis",278.474832303448,"HHSOIL_SN_049_R2","HHSOIL"
"7605","C hominis",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7606","Cryptosporidium spp.",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7607","C parvum",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7608","Stongyloides stercoralis",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7609","E. histolytica",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7610","ETEC-ST",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7611","Adenovirus 40/41",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7612","Giardia duodenalis",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7613","E. coli/ Shigella",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7614","Ascaris",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7615","ETEC-LT",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7616","Necator americanus",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7617","Norovirus GI",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7618","Norovirus GII",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7619","Rotavirus A",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7620","Shigella flexneri 6",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7621","EHEC 0157H7",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7622","STEC",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7623","Salmonella typhi",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7624","Clostridium difficile",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7625","Vibrio cholerae",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7626","Trichuris",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7627","Salmonella enterica",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7628","Total E. coli",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7629","Helicobacter pylori",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7630","EIEC",NA,"HHSOIL_SN_049_R2","HHSOIL"
"7631","Enterovirus",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7632","EAEC",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7633","Ancyclostoma duodenale",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7634","Aeromonas",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7635","EPEC",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7636","Bacteroides fragilis",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7637","Campylobacter coli/jejuni",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7638","Astrovirus",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7639","Cyclospora cayetanesis",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7640","C hominis",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7641","Cryptosporidium spp.",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7642","C parvum",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7643","Stongyloides stercoralis",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7644","E. histolytica",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7645","ETEC-ST",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7646","Adenovirus 40/41",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7647","Giardia duodenalis",3629.45934399329,"HHSOIL_SN_007_RE","HHSOIL"
"7648","E. coli/ Shigella",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7649","Ascaris",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7650","ETEC-LT",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7651","Necator americanus",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7652","Norovirus GI",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7653","Norovirus GII",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7654","Rotavirus A",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7655","Shigella flexneri 6",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7656","EHEC 0157H7",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7657","STEC",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7658","Salmonella typhi",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7659","Clostridium difficile",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7660","Vibrio cholerae",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7661","Trichuris",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7662","Salmonella enterica",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7663","Total E. coli",74.1693279008651,"HHSOIL_SN_007_RE","HHSOIL"
"7664","Helicobacter pylori",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7665","EIEC",NA,"HHSOIL_SN_007_RE","HHSOIL"
"7666","Enterovirus",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7667","EAEC",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7668","Ancyclostoma duodenale",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7669","Aeromonas",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7670","EPEC",9.59393682629673,"HHSOIL_SN_062_R1","HHSOIL"
"7671","Bacteroides fragilis",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7672","Campylobacter coli/jejuni",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7673","Astrovirus",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7674","Cyclospora cayetanesis",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7675","C hominis",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7676","Cryptosporidium spp.",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7677","C parvum",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7678","Stongyloides stercoralis",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7679","E. histolytica",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7680","ETEC-ST",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7681","Adenovirus 40/41",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7682","Giardia duodenalis",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7683","E. coli/ Shigella",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7684","Ascaris",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7685","ETEC-LT",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7686","Necator americanus",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7687","Norovirus GI",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7688","Norovirus GII",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7689","Rotavirus A",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7690","Shigella flexneri 6",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7691","EHEC 0157H7",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7692","STEC",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7693","Salmonella typhi",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7694","Clostridium difficile",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7695","Vibrio cholerae",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7696","Trichuris",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7697","Salmonella enterica",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7698","Total E. coli",216.66839170483,"HHSOIL_SN_062_R1","HHSOIL"
"7699","Helicobacter pylori",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7700","EIEC",NA,"HHSOIL_SN_062_R1","HHSOIL"
"7701","Enterovirus",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7702","EAEC",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7703","Ancyclostoma duodenale",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7704","Aeromonas",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7705","EPEC",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7706","Bacteroides fragilis",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7707","Campylobacter coli/jejuni",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7708","Astrovirus",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7709","Cyclospora cayetanesis",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7710","C hominis",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7711","Cryptosporidium spp.",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7712","C parvum",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7713","Stongyloides stercoralis",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7714","E. histolytica",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7715","ETEC-ST",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7716","Adenovirus 40/41",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7717","Giardia duodenalis",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7718","E. coli/ Shigella",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7719","Ascaris",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7720","ETEC-LT",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7721","Necator americanus",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7722","Norovirus GI",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7723","Norovirus GII",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7724","Rotavirus A",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7725","Shigella flexneri 6",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7726","EHEC 0157H7",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7727","STEC",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7728","Salmonella typhi",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7729","Clostridium difficile",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7730","Vibrio cholerae",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7731","Trichuris",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7732","Salmonella enterica",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7733","Total E. coli",973.393896408694,"SHEEPF_SN_052_R2","SHEEPF"
"7734","Helicobacter pylori",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7735","EIEC",NA,"SHEEPF_SN_052_R2","SHEEPF"
"7736","Enterovirus",NA,"SHEEPF_TS_151_R3","SHEEPF"
"7737","EAEC",NA,"SHEEPF_TS_151_R3","SHEEPF"
"7738","Ancyclostoma duodenale",NA,"SHEEPF_TS_151_R3","SHEEPF"
"7739","Aeromonas",NA,"SHEEPF_TS_151_R3","SHEEPF"
"7740","EPEC",NA,"SHEEPF_TS_151_R3","SHEEPF"
"7741","Bacteroides fragilis",207.370102421989,"SHEEPF_TS_151_R3","SHEEPF"
"7742","Campylobacter coli/jejuni",4796.10323247899,"SHEEPF_TS_151_R3","SHEEPF"
"7743","Astrovirus",NA,"SHEEPF_TS_151_R3","SHEEPF"
"7744","Cyclospora cayetanesis",NA,"SHEEPF_TS_151_R3","SHEEPF"
