"","pathogens","PosNeg","Sample","Cardno","type"
"1256","Salmonella enterica","Negative","HHSOIL_TS_150_R3","card3_20221116","HHSOIL"
"1257","Helicobacter pylori","Negative","HHSOIL_TS_150_R3","card3_20221116","HHSOIL"
"1258","EIEC","Negative","HHSOIL_TS_150_R3","card3_20221116","HHSOIL"
"1259","Total 18S","Positive","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1260","Enterovirus","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1261","EAEC","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1262","Ancyclostoma duodenale","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1263","Aeromonas","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1264","Bacterial 16S","Positive","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1265","EPEC","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1266","Bacteroides fragilis","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1267","Campylobacter coli/jejuni","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1268","Astrovirus","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1269","Cyclospora cayetanesis","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1270","C hominis","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1271","Cryptosporidium spp.","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1272","C parvum","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1273","Stongyloides stercoralis","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1274","E. histolytica","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1275","ETEC-ST","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1276","Adenovirus 40/41","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1277","Giardia duodenalis","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1278","E. coli/ Shigella","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1279","Ascaris","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1280","ETEC-LT","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1281","Necator americanus","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1282","Norovirus GI","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1283","Norovirus GII","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1284","Rotavirus A","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1285","Shigella flexneri 6","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1286","Crassphage","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1287","EHEC 0157H7","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1288","STEC","Positive","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1289","Salmonella typhi","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1290","Clostridium difficile","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1291","Vibrio cholerae","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1292","Trichuris","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1293","Salmonella enterica","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1294","Helicobacter pylori","Negative","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1295","EIEC","Positive","HHSOIL_SN_048_R4","card3_20221116","HHSOIL"
"1296","Total 18S","Positive","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1297","Enterovirus","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1298","EAEC","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1299","Ancyclostoma duodenale","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1300","Aeromonas","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1301","Bacterial 16S","Positive","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1302","EPEC","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1303","Bacteroides fragilis","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1304","Campylobacter coli/jejuni","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1305","Astrovirus","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1306","Cyclospora cayetanesis","Positive","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1307","C hominis","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1308","Cryptosporidium spp.","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1309","C parvum","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1310","Stongyloides stercoralis","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1311","E. histolytica","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1312","ETEC-ST","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1313","Adenovirus 40/41","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1314","Giardia duodenalis","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1315","E. coli/ Shigella","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1316","Ascaris","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1317","ETEC-LT","Positive","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1318","Necator americanus","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1319","Norovirus GI","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1320","Norovirus GII","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1321","Rotavirus A","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1322","Shigella flexneri 6","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1323","Crassphage","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1324","EHEC 0157H7","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1325","STEC","Positive","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1326","Salmonella typhi","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1327","Clostridium difficile","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1328","Vibrio cholerae","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1329","Trichuris","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1330","Salmonella enterica","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1331","Helicobacter pylori","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1332","EIEC","Negative","HHSOIL_TS_113_MN","card3_20221116","HHSOIL"
"1333","Total 18S","Positive","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1334","Enterovirus","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1335","EAEC","Positive","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1336","Ancyclostoma duodenale","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1337","Aeromonas","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1338","Bacterial 16S","Positive","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1339","EPEC","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1340","Bacteroides fragilis","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1341","Campylobacter coli/jejuni","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1342","Astrovirus","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1343","Cyclospora cayetanesis","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1344","C hominis","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1345","Cryptosporidium spp.","Positive","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1346","C parvum","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1347","Stongyloides stercoralis","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1348","E. histolytica","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1349","ETEC-ST","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1350","Adenovirus 40/41","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1351","Giardia duodenalis","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1352","E. coli/ Shigella","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1353","Ascaris","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1354","ETEC-LT","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1355","Necator americanus","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1356","Norovirus GI","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1357","Norovirus GII","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1358","Rotavirus A","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1359","Shigella flexneri 6","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1360","Crassphage","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1361","EHEC 0157H7","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1362","STEC","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1363","Salmonella typhi","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1364","Clostridium difficile","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1365","Vibrio cholerae","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1366","Trichuris","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1367","Salmonella enterica","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1368","Helicobacter pylori","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1369","EIEC","Negative","HHSOIL_TS_120_MN","card3_20221116","HHSOIL"
"1370","Total 18S","Positive","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1371","Enterovirus","Positive","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1372","EAEC","Positive","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1373","Ancyclostoma duodenale","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1374","Aeromonas","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1375","Bacterial 16S","Positive","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1376","EPEC","Positive","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1377","Bacteroides fragilis","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1378","Campylobacter coli/jejuni","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1379","Astrovirus","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1380","Cyclospora cayetanesis","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1381","C hominis","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1382","Cryptosporidium spp.","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1383","C parvum","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1384","Stongyloides stercoralis","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1385","E. histolytica","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1386","ETEC-ST","Positive","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1387","Adenovirus 40/41","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1388","Giardia duodenalis","Positive","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1389","E. coli/ Shigella","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1390","Ascaris","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1391","ETEC-LT","Positive","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1392","Necator americanus","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1393","Norovirus GI","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1394","Norovirus GII","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1395","Rotavirus A","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1396","Shigella flexneri 6","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1397","Crassphage","Positive","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1398","EHEC 0157H7","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1399","STEC","Positive","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1400","Salmonella typhi","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1401","Clostridium difficile","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1402","Vibrio cholerae","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1403","Trichuris","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1404","Salmonella enterica","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1405","Helicobacter pylori","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1406","EIEC","Negative","HHSOIL_TS_138_R2","card3_20221117","HHSOIL"
"1407","Total 18S","Positive","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1408","Enterovirus","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1409","EAEC","Positive","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1410","Ancyclostoma duodenale","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1411","Aeromonas","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1412","Bacterial 16S","Positive","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1413","EPEC","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1414","Bacteroides fragilis","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1415","Campylobacter coli/jejuni","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1416","Astrovirus","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1417","Cyclospora cayetanesis","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1418","C hominis","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1419","Cryptosporidium spp.","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1420","C parvum","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1421","Stongyloides stercoralis","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1422","E. histolytica","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1423","ETEC-ST","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1424","Adenovirus 40/41","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1425","Giardia duodenalis","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1426","E. coli/ Shigella","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1427","Ascaris","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1428","ETEC-LT","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1429","Necator americanus","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1430","Norovirus GI","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1431","Norovirus GII","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1432","Rotavirus A","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1433","Shigella flexneri 6","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1434","Crassphage","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1435","EHEC 0157H7","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1436","STEC","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1437","Salmonella typhi","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1438","Clostridium difficile","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1439","Vibrio cholerae","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1440","Trichuris","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1441","Salmonella enterica","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1442","Helicobacter pylori","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1443","EIEC","Negative","HHSOIL_TS_141_R3","card3_20221117","HHSOIL"
"1444","Total 18S","Positive","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1445","Enterovirus","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1446","EAEC","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1447","Ancyclostoma duodenale","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1448","Aeromonas","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1449","Bacterial 16S","Positive","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1450","EPEC","Positive","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1451","Bacteroides fragilis","Positive","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1452","Campylobacter coli/jejuni","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1453","Astrovirus","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1454","Cyclospora cayetanesis","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1455","C hominis","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1456","Cryptosporidium spp.","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1457","C parvum","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1458","Stongyloides stercoralis","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1459","E. histolytica","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1460","ETEC-ST","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1461","Adenovirus 40/41","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1462","Giardia duodenalis","Positive","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1463","E. coli/ Shigella","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1464","Ascaris","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1465","ETEC-LT","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1466","Necator americanus","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1467","Norovirus GI","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1468","Norovirus GII","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1469","Rotavirus A","Positive","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1470","Shigella flexneri 6","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1471","Crassphage","Positive","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1472","EHEC 0157H7","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1473","STEC","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1474","Salmonella typhi","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1475","Clostridium difficile","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1476","Vibrio cholerae","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1477","Trichuris","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1478","Salmonella enterica","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1479","Helicobacter pylori","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1480","EIEC","Negative","HHSOIL_TS_104_MN","card3_20221117","HHSOIL"
"1481","Total 18S","Positive","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1482","Enterovirus","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1483","EAEC","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1484","Ancyclostoma duodenale","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1485","Aeromonas","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1486","Bacterial 16S","Positive","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1487","EPEC","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1488","Bacteroides fragilis","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1489","Campylobacter coli/jejuni","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1490","Astrovirus","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1491","Cyclospora cayetanesis","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1492","C hominis","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1493","Cryptosporidium spp.","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1494","C parvum","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1495","Stongyloides stercoralis","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1496","E. histolytica","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1497","ETEC-ST","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1498","Adenovirus 40/41","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1499","Giardia duodenalis","Positive","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1500","E. coli/ Shigella","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1501","Ascaris","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1502","ETEC-LT","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1503","Necator americanus","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1504","Norovirus GI","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1505","Norovirus GII","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1506","Rotavirus A","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1507","Shigella flexneri 6","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1508","Crassphage","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1509","EHEC 0157H7","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1510","STEC","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1511","Salmonella typhi","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1512","Clostridium difficile","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1513","Vibrio cholerae","Positive","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1514","Trichuris","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1515","Salmonella enterica","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1516","Helicobacter pylori","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1517","EIEC","Negative","HHSOIL_TS_159_R1","card3_20221117","HHSOIL"
"1518","Total 18S","Positive","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1519","Enterovirus","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1520","EAEC","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1521","Ancyclostoma duodenale","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1522","Aeromonas","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1523","Bacterial 16S","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1524","EPEC","Positive","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1525","Bacteroides fragilis","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1526","Campylobacter coli/jejuni","Positive","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1527","Astrovirus","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1528","Cyclospora cayetanesis","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1529","C hominis","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1530","Cryptosporidium spp.","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1531","C parvum","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1532","Stongyloides stercoralis","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1533","E. histolytica","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1534","ETEC-ST","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1535","Adenovirus 40/41","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1536","Giardia duodenalis","Positive","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1537","E. coli/ Shigella","Positive","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1538","Ascaris","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1539","ETEC-LT","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1540","Necator americanus","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1541","Norovirus GI","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1542","Norovirus GII","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1543","Rotavirus A","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1544","Shigella flexneri 6","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1545","Crassphage","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1546","EHEC 0157H7","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1547","STEC","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1548","Salmonella typhi","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1549","Clostridium difficile","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1550","Vibrio cholerae","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1551","Trichuris","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1552","Salmonella enterica","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1553","Helicobacter pylori","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1554","EIEC","Negative","HHSOIL_TS_145_R1","card3_20221117","HHSOIL"
"1555","Total 18S","Positive","HHSOIL_TS_151_R1","card3_20221117","HHSOIL"
"1556","Enterovirus","Negative","HHSOIL_TS_151_R1","card3_20221117","HHSOIL"
